id,word,syllable_word,phonetic,synonym
1,Workout,Work·out,ˈwɜːkˌaʊt,锻炼
2,Fitness,Fit·ness,ˈfɪt·nɪs,健身
3,Cardio,Car·di·o,ˈkɑːr·diˌoʊ,有氧运动
4,Muscle,Mus·cle,ˈmʌs·əl,肌肉
5,Strength,Strength,strɛŋkθ,力量
6,Protein,Pro·tein,ˈproʊ·tiːn,蛋白质
7,Diet,Diet,ˈdaɪ·ət,饮食
8,Yoga,Yo·ga,ˈjoʊ·ɡə,瑜伽
9,Crossfit,Cross·fit,ˈkrɒs·fɪt,交叉健身
10,Barbell,Bar·bell,ˈbɑːrˌbɛl,杠铃
11,Dumbbell,Dumb·bell,ˈdʌm·bɛl,哑铃
12,Squat,Squat,skwɒt,深蹲
13,Bench,Bench,bɛntʃ,长凳
14,Deadlift,Dead·lift,ˈdɛdˌlɪft,硬拉
15,Treadmill,Tread·mill,ˈtrɛdˌmɪl,跑步机
16,Cycling,Cy·cling,ˈsaɪ·klɪŋ,骑行
17,Stretching,Stretch·ing,ˈstrɛtʃ·ɪŋ,拉伸
18,Hydration,Hy·dra·tion,haɪˈdreɪ·ʃən,补水
19,Supplement,Sup·ple·ment,ˈsʌp·lə·mənt,补充
20,Endurance,En·du·rance,ɪnˈdjʊr·əns,耐力
21,Bodybuilding,Bod·y·build·ing,ˈbɒd·iˌbɪl·dɪŋ,健美
22,Marathon,Ma·ra·thon,ˈmær·əˌθɒn,马拉松
23,Plyometrics,Ply·o·met·rics,ˌplaɪ·oʊˈmɛt·rɪks,跳跃训练
24,Cooldown,Cool·down,ˈkuːlˌdaʊn,放松
